foodid,foodname,ingredients
1,Balu shahi,"Maida flour, yogurt, oil, sugar"
2,Boondi,"Gram flour, ghee, sugar"
3,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins"
4,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
5,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
6,Imarti,"Sugar syrup, lentil flour"
7,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
8,Kaju katli,"Cashews, ghee, cardamom, sugar"
9,Kalakand,"Milk, cottage cheese, sugar"
10,Kheer,"Milk, rice, sugar, dried fruits"
11,Laddu,"Gram flour, ghee, sugar"
12,Lassi,"Yogurt, milk, nuts, sugar"
13,Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
14,Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder"
15,Phirni,"Rice, sugar, nuts"
16,Rabri,"Condensed milk, sugar, spices, nuts"
17,Sheera,"Semolina, ghee, nuts, milk"
18,Singori,"Khoa, coconut, molu leaf"
19,Sohan halwa,"Corn flour, ghee, dry fruits"
20,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom"
21,Chhena jalebi,"Chhena, sugar, ghee"
22,Chhena kheeri,"Chhena, sugar, milk"
23,Chhena poda,"Sugar, chenna cheese"
24,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
25,Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom"
26,Ledikeni,"Chhena, sugar, ghee"
27,Lyangcha,"Flour, fried milk power, sugar syrup"
28,Malapua,"Yoghurt, refined flour, ghee, fennel seeds"
29,Mihidana,"Besan flour, sugar, ghee"
30,Misti doi,"Milk, jaggery"
31,Pantua,"Chhena, sugar, ghee, flour"
32,Pithe,"Rice flour, wheat flour"
33,Rasabali,"Chenna, sweetened milk"
34,Ras malai,"Chhena, reduced milk, pistachio"
35,Rasgulla,"Chhena, sugar, cardamom"
36,Sandesh,"Milk, sugar, saffron, cardamom"
37,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi"
38,Ariselu,"Rice flour, jaggery, ghee"
39,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar"
40,Chikki,"Peanuts, jaggery"
41,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk"
42,Double ka meetha,"Loaf bread, milk"
43,Gavvalu,"Rice flour, sugar, salt, ghee, semolina"
44,Kakinada khaja,"Wheat flour, sugar"
45,Kuzhi paniyaram,"Black lentils, rice"
46,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee"
47,Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom"
48,Palathalikalu,"Rice flour, milk"
49,Poornalu,"Chana dal, jaggery"
50,Pongal,"Rice, jaggery, cashews, ghee"
51,Pootharekulu,"Rice flour, powdered sugar, ghee"
52,Qubani ka meetha,"Apricots, sugar syrup"
53,Sheer korma,"Vermicelli pudding, milk"
54,Unni Appam,"Rice flour, banana, jaggery, coconut"
55,Kajjikaya,"Rice flour, jaggery, coconut"
56,Anarsa,"Rice flour, jaggery, khus-khus seeds"
57,Basundi,"Sugar, milk, nuts"
58,Dhondas,"Cucumber, rava"
59,Doodhpak,"Milk, rice, sugar, dry fruits"
60,Mahim halwa,"Semolina, sugar"
61,Modak,"Rice flour, coconut, jaggery "
62,Shankarpali,"Sugar, ghee, maida flour, semolina"
63,Shrikhand,"Curd, sugar, saffron, cardamom"
64,Sutar feni,"Maida, sugar, ghee"
65,Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic"
66,Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic"
67,Chak Hao Kheer,"Rice, milk, sugar, cardamom"
68,Galho,"Rice, axone, salt, water, chillies, pork"
69,Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves"
70,Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt"
71,Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic"
72,Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil"
73,Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt"
74,Bhatura,"Chole, rava, yogurt, plain flour, baking soda"
75,Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder"
76,Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
77,Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
78,Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
79,Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour"
80,Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
81,Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
82,Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
83,Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
84,Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond"
85,Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
86,Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder"
87,Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
88,Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
89,Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
90,Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
91,Kachori,"Moong dal, rava, garam masala, dough, fennel seeds"
92,Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
93,Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves"
94,Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
95,Khichdi,"Moong dal, green peas, ginger, tomato, green chili"
96,Kofta,"Paneer, potato, cream, corn flour, garam masala"
97,Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
98,Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
99,Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
100,Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
101,Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger"
102,Misi roti,"Whole wheat flour, chickpea flour, green chilies"
103,Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum"
104,Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
105,Naan,"Whole wheat flour, honey, butter, garlic"
106,Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder"
107,Palak paneer,"Cottage cheese, palak, cream, garam masala, butter"
108,Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter"
109,Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper"
110,Pani puri,"Kala chana, mashed potato, boondi, sev, lemon"
111,Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina"
112,Papad,"Urad dal, sev, lemon juice, chopped tomatoes"
113,Paratha,"Wheat flour, butter, potato, coriander"
114,Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
115,Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon"
116,Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
117,Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
118,Samosa,"Potatoes, green peas, garam masala, ginger, dough"
119,Sattu ki roti,"Sattu, atta, dough, filling, mustard oil"
120,Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato"
121,Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds"
122,Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot"
123,Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
124,Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
125,Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
126,Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
127,Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
128,Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
129,Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
130,Idiappam,"Rice flour, hot water, grated coconut"
131,Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
132,Kanji,"Carrot, yellow mustard, red chilli, black salt"
133,Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
134,Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil"
135,Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
136,Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds"
137,Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
138,Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
139,Kootu,"Chana dal, urad dal, potato, beans, peas"
140,Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
141,Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
142,Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
143,Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut"
144,Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
145,Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha"
146,Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
147,Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli"
148,Papadum,"Lentils, black pepper, vegetable oil"
149,Paravannam,"Raw rice,  jaggery, milk"
150,Payasam,"Rice, cashew nuts, milk, raisins, sugar"
151,Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
152,Pesarattu,"Green moong beans, rice flour"
153,Poriyal,"Chana dal, urad dal, beans, coconut, mustard"
154,Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves"
155,Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water"
156,Puttu,"Brown rice flour, sugar, grated coconut"
157,Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
158,Sandige,"Thin rice flakes, black sesame seeds, curry leaves"
159,Sevai,"Sevai, parboiled rice, steamer"
160,Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
161,Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind"
162,Uttapam,"Chana dal, urad dal, thick poha, tomato, butter"
163,Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper"
164,Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon"
165,Upma,"Chana dal, urad dal, ginger, curry leaves, sugar"
166,Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water"
167,Zunka,"Gram flour, mustard, garlic, turmeric, red chilli"
168,Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger"
169,Saath,"Urad dal, potatoes, wheat flour, sooji"
170,Bajri no rotlo,"Wheat flour, pearl millet flour, hot water"
171,Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews"
172,Bhakri,"Jowar flour, sesame seeds"
173,Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies"
174,Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli"
175,Chevdo,"Citric acid, fry, raisins, sugar, chana daal"
176,Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt"
177,Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
178,Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour"
179,Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise"
180,Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind"
181,Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
182,Dhokla,"Rava, coconut, gram flour, mustard, sesame"
183,Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter"
184,Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour"
185,Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds"
186,Ghooghra,"Dry fruits, semolina, all purpose flour"
187,Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal"
188,Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk"
189,Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes"
190,Kansar,"Wheat flour, cashews, rapeseed oil"
191,Keri no ras,"Mango, sugar"
192,Khakhra,"Whole wheat flour, low fat, bengal gram flour"
193,Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
194,Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric"
195,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted"
196,Koshimbir,"Cucumber, carrot, tomatoes, cilantro"
197,Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves"
198,Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron"
199,Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
200,Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
201,Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
202,Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves"
203,Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
204,Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic"
205,Sev tameta,"Sev, ginger, tomato, sugar"
206,Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
207,Sukhdi,"Whole wheat flour, gur, clarified butter"
208,Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut"
209,Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
210,Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
211,Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut"
212,Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
213,Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
214,Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt"
215,Khichu,"Rice flour, sesame seeds, baking soda, peanut oil"
216,Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour"
217,Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper"
218,Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
219,Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas"
220,Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
221,Cheera Doi,"Rice, mango, curd"
222,Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind"
223,Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
224,Kumol Sawul,"Rice, eggs, carrot, beetroot"
225,Luchi,"Maida, vegetable oil"
226,Alu Pitika,"Potatoes, mustard oil, fish, green chillies"
227,Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
228,Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander"
229,Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
230,Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
231,Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
232,Brown Rice,"Brown rice, soy sauce, olive oil"
233,Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
234,Goja,"Baking soda, clarified butter, oil, all purpose flour"
235,Hando Guri,"Jaggery, raisins"
236,Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf"
237,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili"
238,Kabiraji,"Fish fillet, besan, lemon, mint, ginger"
239,Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
240,Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice"
241,Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
242,Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
243,Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
244,Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
245,Pakhala,"Curd, cooked rice, curry leaves, dry chilli"
246,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
247,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
248,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar"
249,Red Rice,"Red pepper, red onion, butter, watercress, olive oil"
250,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal"
251,Til Pitha,"Glutinous rice, black sesame seeds, gur"
252,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour"
253,Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam"
254,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour"
255,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
